"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0I110","0.1368","0.4755","0.2869","0.3532","0.341","0.1854","0.424","0.2978","0.2954","0.4782","0.4938","0.4668","0.2192","0.3268","0.0087","0.4668","0.3961","0.3782","0.2801","0.1169","0.1816","0.424","0.263","0.2052","0.341","0.1302","0.1956","0.3109","0.1145"
"C0K240","0.4863","-0.9969","-0.2958","-0.2052","0.4663","-1.782","-0.9193","-0.0488","0.6994","0.4684","-0.431","0.4459","-0.424","0.4459","0.3195","0.3152","0.2575","-0.1462","-0.265","0.3316","0.4045","-0.4","-0.0872","-0.4298","-0.8004","-0.3804","-0.5665","-1.2958","0.4405"
"C0K280","3.0529","4.7924","4.5301","3.007","2.4","2.1613","4.7924","5.2623","3.4468","3.7588","4.5105","3.3483","2.6311","2.2651","3.9392","5.6382","6.4839","6.3899","4.924","3.4769","1.6914","0.7878","0.9959","3.1514","3.7588","5.6382","4.6985","4.1362","3.5708"
"C0K330","1.0392","2.7251","1.4722","1.0392","0.9526","-1.6087","2.5372","2.4432","0.866","1.6914","2.3492","1.299","1.299","0.9526","1.5035","2.8191","3.007","2.913","1.9053","1.299","0.5196","0.0695","0.866","1.4722","1.8794","2.8191","1.5588","2.0785","0.9526"
"C0M410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0M530","0","-0.3939","-0.0985","-0.2598","-0.1879","-1.1818","-0.7518","-0.1732","-0.2954","0.2","-0.2819","-0.2298","-0.1732","-0.3464","-0.1732","-0.1","-0.1732","0.2954","-0.1732","0","0","-0.5362","-0.2954","-0.6062","-0.6894","-0.3759","-0.2598","0.4104","-0.6128"
"C0O810","-0.0766","-0.1532","-0.0643","0.05","-0.1732","1.1818","0.6894","-0.1879","-0.0985","-0.05","-0.094","-0.094","0.0985","0.8863","-0.197","-0.1879","-0.0985","-0.197","-0.0866","-0.0766","0","0.094","0.3759","0.197","-0.2954","-0.197","-0.2","0.5909","-0.1732"
"C0O900","2.4","3.3483","3.1514","2.659","2.2","-2.9","2.7575","3.8","2.2","3.3","3.1514","2.3635","2.7","1.5035","2.462","3.6438","4.3","4.2","3.0529","1.7727","1.2803","-0.5785","1.3","2.5605","2.659","3.7","2.9","3.2","2.2651"
"C0O930","0.3064","0.3214","0.1928","0.1928","0.3464","-0.8","0","0.197","0.0985","0.1026","-0.0695","0.0347","0.3064","0.3064","-0.3064","-0.0521","0.3759","0.2","0.1368","-0.05","-0.0866","-0.1879","0.2598","-0.171","-0.2571","-0.171","0.0695","0.7518","0"
"C0R100","-0.2","-0.3939","0","-0.1","-0.0684","-0.25","-0.2598","-0.094","-0.094","-0.05","-0.1732","0.197","-0.197","-0.1286","-0.1286","0.0866","0.0766","0.05","0.0643","-0.0342","0.0766","-0.1286","0.0866","-0.15","0.1879","0.05","-0.0643","-0.5785","-0.0174"
"C0R150","0.1532","-0.1026","0.0766","-0.1368","0.2052","0.342","0.0695","0.2298","0.1286","0.1026","-0.1928","0.2598","-0.1286","0.1042","0.25","0.1732","0.2598","0.3464","0.0866","0.0866","-0.1","0.0174","0.3857","0.3464","0.1532","0.2598","0.3064","0.6062","0.1286"
"C0R220","0.0643","-0.0866","0.0643","0","0","-0.433","0","0.094","0","0.0985","0.1879","0.1732","0.0766","0","0","0","0.1732","0.0985","0.0643","0","0","0","-0.094","0.05","0.094","0.0342","0.0643","0.3759","0"
"C0R270","2.1613","1.6087","1.8794","1.3856","1.9696","-3.9467","0.8356","1.5975","0.9959","1.7854","2.3492","2.1613","1.6742","-0.8","1.3787","1.7321","1.8187","1.8187","0.9959","0.433","0.9","-1.4555","0.3762","0.7071","0.766","1.4095","1.3856","2.7575","1.299"
"C0R280","0.0314","-1.9778","-0.9859","-0.9271","-0.15","-0.1923","-1.3121","-2.4593","-1.5392","-0.1408","-0.9009","-1.2276","-0.1463","-0.0262","-0.3657","-0.803","0.5806","-1.1833","-0.8186","-0.1395","0.1325","-0.9877","0.0366","0.2034","-0.3032","-1.989","-2.1916","-0.8835","-1.0348"
