"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"C0S690","0.4848","0.4086","0.1878","0.2796","0.227","0.412","0.2347","0.2817","0","0.2817","0.5699","0.5634","0.3394","0.0656","-0.0629","-0.2925","0.4695","0.1678","0.1315","0.1545","0.309","0.212","0.2","0.0559","0.3878","0.2909","0.2237","-0.0868"
"C0S700","0.6632","0.5803","0.2728","0.5871","0.0675","0.6932","-0.2796","0.6237","-0.0732","0.3694","1.0064","0.848","0.4792","-0.1097","-0.6122","0.1968","0.6994","-0.2536","0.4774","0.6122","0.3682","0.3782","0.3498","0.2828","0.4728","0.4045","0.4528","0.9969"
"C0S710","0.6725","0.2925","0.5822","0.3897","0.6048","0.2162","0.4366","0.2179","0.6356","0.1463","0.3897","0.3758","0.1116","0.3256","-0.1336","0.2847","0.2613","0.0767","-0.5","-0.4635","0.2437","0.2681","0.3129","0.0975","0.0419","0.2613","-0.6359","0.0209"
"C0S730","4.3952","4.4491","5.1289","5.5235","5.1728","5.5387","4.1894",NA,"3.4185","3.881","4.7756","4.0844","2.5423","1.212","0.8241","1.3946","3.9905","1.3676","2.084","2.5267","3.2119","4.1207","3.6773","1.6798","2.043","4.4714","1.622","1.4074"
"C0S740","1.7335","1.0565","0.879","1.4421","0.8601","1.0575","0.1882","0.7866","0.0314","0.1482","1.7428","1.6217","0.5619","0.7071","0.3907","0.2474","1.3","-0.6303","0.0628","0.0175","1.0798","1.0181","0.9298","0.1693","0.8619","1.135","0.0959","-0.7014"
"C0S750","0.2719","0.0857","0.0682","0.0588","0.0643","-0.0999","0.0244","-0.0829","-0.2","-0.3939","0.2298","0.0574","-0.589","-0.7995","0.5768","-0.5119","-0.4924","-0.2344","0.4997","0.4997","-0.1545","0.1732","0.1753","-0.5985","0.1975","0.1989","-0.5985","-0.2509"
"C0S760","0.2192","0.1498","-0.1302","0.0717","-0.0618","-0.1125","-0.2025","-0.2481","0.0927","0.227","0.3126","0.1294","0.0977","0.1236","0.2781","0.3365","0.2424","0.1075","0.244","0.1362","0.5967","0.169","0.0877","0.1236","0.1754","0.1753","0.1236","0.115"
"C0S770","1.0625","0.7986","0.3878","0.9","0.6657","0.9848","0.0122","0.8285","0.0087","0.8933","1.0595","0.9225","0.2329","-0.4981","-0.3998","0.0927","1.0269","0.0314","-0.4698","-0.4938","0.6344","0.0209","0.2958","0.2996","0.2723","0.5202","0.341","-0.7364"
"C0S790","0.0523","0.1954","0.0696","0.0939","0.1169","0.1854","0.0521","0.007","0.103","0.1628","0.0853","0.0366","0.0868","0.4973","0.4728","0.4568","0.0954","0.1732","0.0927","0.169","0.1433","0.1103","0.2294","0.1949","0.0436","0.014","0.1368","0.1095"
"C0S810","0.7017","1.1982","0.908","0.2091","-0.3742","0.2659","0.4113","0.6498","0.3149","0.908","1.4838","0.0349","0.1116","-0.5244","-0.6576","-0.5699","1.4695","-0.3244","-0.4141","1.2944","1.2036","0.5209","0.44","-0.7981","1.1331","1.3216","-0.5472","-0.7107"
"C0S830","1.4705","1.2036","0.1809","-0.5803","-0.5803","-0.5664","-0.3945","0.0939","0.0244","0.7","1.0159","0.4788","0.309","0.0209","0.0557","0.0628","1.2718","0.765","0.0697","0.809","0.6695","0.0836","0.5657","0.0209","1.1756","0.1408","0.0628","0.3661"
"C0S840","2.5279","2.2981","1.6362","2.0808","1.7264","3.3706","1.412","2.8679","1.9917","1.8607","3.3543","3.1955","2.4905","-1.8988","-1.2929","0.2329","3.1086","-1.7387","-1.7778","-1.6907","1.8124","1.609","2.3747","0.4386","1.7874","2.0377","1.8021","-1.3743"
"C0T790","-1.1883","-1.2716","-1.8815","-1.5706","-1.3896","-0.9976","-1.565","-0.5734","-1.9951","-1.699","-2.5984","-1.3947","-1.1852","-1.9988","-2.0987","-1.5978","-1.4991","-1.3828","-0.9877","-1.5757","-1.4963","-1.7901","-1.0918","-1.3991","-1.2998","-0.9986","0.1251","-1.8997"
"C0T820","0.9887","0.6181","0.1259",NA,NA,NA,NA,"0.3464","0.0261","0.9429","1.1143","1.1276","0.5438","0.1125","0.5846","0.4568","0.8019","0.6657","0.5638","0.6472","0.891","0.3019","0.725","0.0209","0.725","0.9712","0.5734","0.1677"
"C0T870","-0.7999","-1.0958","-0.5","-0.6996","-0.4","-0.4999","-0.5999","-0.4999","-0.5999","-1.0462","0.2071","-0.5999","-0.5999","0.3178","0.7762","0.35","-1.1852","-0.699","-0.6996","-0.8995","-0.9703","-0.699","-0.6792","-0.5985","0.736","-0.8978","0.4592","-0.7092"
