day,PP01,PS01,TX01,WD_u,WD_v
232,0.463671879,-1.43027936,1.201033551,-1.102558318,-0.930889735
233,1.004502026,-1.526628716,1.225112571,-1.107963913,-0.930889735
234,2.131894682,-1.485657996,1.193930369,-1.107180494,-1.255556309
235,1.968370147,-1.431228016,1.177903332,-1.179490121,-1.678705078
236,2.595922806,-1.353437029,1.155003903,-1.048502367,-1.344839617
237,0.897584234,-1.295034488,1.174467136,-1.147134892,-0.628408709
238,0.133842891,-1.269479651,1.194520164,-1.010741543,-0.615061306
239,0.618883917,-1.301378724,1.175390293,-0.916339484,-0.65113537
240,1.894511565,-1.400989144,1.125360296,-0.853274208,-0.493852451
241,2.364753621,-1.471902289,1.087356987,-0.995073152,-1.123705606
242,2.585648014,-1.508011058,1.058687824,-1.087281636,-1.610705467
243,1.85635584,-1.387648463,1.05763645,-1.276085755,-1.408149599
244,2.364835383,-1.26669295,1.049353678,-1.27428389,-1.020173043
245,0.695113605,-1.056977421,1.047302217,-1.123632305,-0.488260971
246,0.765974237,-1.026323498,1.052430869,-0.82616789,-0.303742135
247,0.732587978,-1.054546457,1.071253021,-0.786996911,-0.190469575
248,0.388259814,-1.024248271,1.068483549,-0.908505288,-0.701458689
249,0.046275502,-0.926772368,1.064611417,-0.748452668,-0.597385014
250,0.507632725,-0.886750303,1.043635231,-0.653972266,-0.076655903
251,0.669549269,-0.814177005,1.043814734,-0.578685644,0.233220305
252,1.308412375,-0.826509717,1.030531526,-0.389019764,0.238811785
253,1.403038573,-0.888291901,1.023966852,-0.385024324,-0.065112203
254,0.575904219,-0.935488278,1.036403832,-0.440647114,0.025072957
255,1.191437824,-0.857934449,1.023248841,-0.362305156,-0.164496249
256,1.291651111,-0.850760113,0.992400001,-0.148196585,-0.08026331
257,1.477742032,-0.934183839,0.971680248,-0.30206019,0.148987366
258,1.015539932,-0.922918385,0.967551684,-0.180551813,0.075576646
259,0.594273475,-0.826272558,0.959474057,0.134617884,0.374269895
260,1.144806078,-0.789570847,0.876800192,0.307361902,0.365071008
261,2.064686098,-0.881651217,0.850567139,0.375284379,0.274885849
262,1.628130096,-0.845423846,0.831770631,-0.171699172,0.358577677
263,0.671211769,-0.656460491,0.82382122,-0.01399681,0.592517981
264,2.190954294,-0.676263987,0.770431956,0.140885241,0.836378652
265,2.144404309,-0.687410884,0.756738456,0.115345762,0.736453496
266,1.471310067,-0.546770432,0.764046785,-0.158067671,0.669355737
267,0.20734717,-0.41093264,0.780150751,0.102732707,0.641578708
268,0.229859047,-0.410280432,0.759918221,0.48331794,0.832049765
269,0.444457746,-0.517302346,0.740890923,0.713173245,1.143008195
270,1.014068212,-0.656104731,0.73827531,0.569102384,0.69947758
271,2.960364487,-0.738757669,0.711324246,0.371445624,0.711382021
272,1.895628983,-0.481371446,0.690065985,0.031363183,0.619934269
273,0.014061169,-0.185860516,0.684219322,0.296550712,0.714267946
274,-0.008995791,-0.051742191,0.674218451,0.356168942,1.009714529
275,-0.121582434,-0.071782868,0.6654741,0.340343866,1.080419694
276,-0.221305146,-0.075636828,0.672269563,0.549830262,1.005024901
277,0.132016867,-0.133802211,0.630496695,0.755556244,0.87461716
278,0.057231646,-0.173646384,0.625239827,0.726648062,0.865057533
279,1.291433078,-0.279245302,0.553977212,0.895161613,0.842330873
280,0.279188949,-0.246931203,0.504383151,0.586807666,0.824293841
281,0.360324373,-0.138842031,0.495972162,0.563931815,1.063464884
282,0.076391271,-0.035021868,0.446865322,0.780077277,1.415728117
283,0.208955161,0.011403699,0.483817257,0.691237497,0.921874184
284,-0.566750727,0.109294676,0.521230771,0.686850347,1.221469284
285,0.282677472,0.156550319,0.493407836,0.644467348,1.372799981
286,-0.0893681,0.149850346,0.494125847,0.663347759,1.22525706
287,0.095959707,0.141075146,0.426478932,0.825672297,1.37748961
288,0.841658843,0.135027358,0.391552814,0.867663586,1.352959246
289,0.408809397,0.101942471,0.396886612,0.807340278,0.772527559
290,-0.779468894,0.224143111,0.344420505,0.927908552,1.183230776
291,-0.96466043,0.283138571,0.294775157,1.036177138,1.397691085
292,-0.743684275,0.264698781,0.278209612,1.093601793,1.579143627
293,-0.315577041,0.204280326,0.271619294,0.96504264,1.652193606
294,-0.337816378,0.212521897,0.27426055,0.823243696,1.165554485
295,-0.444025563,0.283968671,0.249617379,0.775220076,1.093947468
296,-0.604415879,0.318713734,0.200818258,0.943968653,1.265479642
297,0.690998238,0.319899571,0.182149966,1.001236625,1.353319987
298,1.219945602,0.354763214,0.167687168,0.934332593,1.446751812
