"stno","2011-02-01","2011-02-02","2011-02-03","2011-02-04","2011-02-05","2011-02-06","2011-02-07","2011-02-08","2011-02-09","2011-02-10","2011-02-11","2011-02-12","2011-02-13","2011-02-14","2011-02-15","2011-02-16","2011-02-17","2011-02-18","2011-02-19","2011-02-20","2011-02-21","2011-02-22","2011-02-23","2011-02-24","2011-02-25","2011-02-26","2011-02-27","2011-02-28"
"C0F861","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","...","...","...","...","..."
"C0G640","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0G650","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0H990","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0H9A0","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0H9C0","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0I010","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0I090","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0I110","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0K240","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0K280","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0K330","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0M410","988.3","986.9","985.9","983.8","984.3","983.7","981.2","977.6","979","980","982.8","985.9","983.8","985.5","988","985.4","982.7","983","984","985","985.5","985.7","985.1","984.3","984.5","984.9","984.2","982.9"
"C0M530","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0O810","1007.7","1006.5","1004.9","1002.1","1003.4","1002.9","1000.5","995.7","998.1","999.4","1003","1006.5","1004.1","1006.4","1008.3","1005.8","1002.4","1002.9","1003.9","1005.4","1005.7","1005.3","1004.6","1003.6","1003.6","1004.5","1004","1002.6"
"C0O900","1019","1017.6","1016.2","1014","1014.2","1013.6","1010.7","1007.2","1008.5","1010","1013.4","1016.5","1014.3","1016.5","1018.4","1015.8","1013.1","1013.6","1014.5","1016","1016.2","1016.1","1015.3","1014.2","1014.6","1015.3","1014.5","1012.7"
"C0O930","1013.1","1011.7","1010.3","1008.2","1008.5","1008","1005.3","1001.9","1003.1","1004.3","1007.6","1010.7","1008.5","1010.4","1012.5","1009.7","1007.1","1007.6","1008.5","1009.7","1010.2","1010.2","1009.3","1008.3","1008.7","1009.3","1008.7","1007"
"C0R100","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0R150","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0R220","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
"C0R270","1012.4","1010.7","1009.5","1007.3","1007.8","1007.3","1004.5","1000.5","1002.1","1003.4","1006.5","1010","1007.6","1009.3","1011.9","1009.1","1006.1","1007","1007.8","1009","1009.5","1009.7","1008.8","1007.8","1008.1","1008.8","1008","1006.2"
"C0R280","996.3","994.7","993.7","992.1","/","/","/","/","983.0","983.6","/","/","/","/","991.7","990.0","986.6","987.1","987.9","989.0","989.5","990.5","/","998.9","/","/","/","/"
"C0R350","1015.3","1013.6","1012.5","1010.4","1011.3","1010.8","1007.9","1004.3","1005.4","1006.6","1009.4","1012.8","1010.6","1011.7","1014.8","1012.7","1009.4","1010","1010.7","1012","1012.4","1012.7","1012.1","1011.1","1011.4","1012.4","1011.3","1009.6"
"C0R420","958.3","956.8","955.9","954.2","954.9","954.3","951.9","948.3","949.7","950.7","953.5","956.7","954.3","955.3","958.3","956.5","953.4","953.8","954.5","955.5","956","956.4","955.6","954.8","955.2","956","955.2","953.9"
