"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"C0I090","908.7","906.5","904.5","904.7","905.8","906.6","907.4","908.5","907","904.3","902.8","901.6","903.8","903.7","903.9","906.7","907.5","904.8","902.4","900.6","907.6","909.4","908.7","909.1","908.8","908.7","909.5","906.5","906.3","910.2"
"C0I110","987.7","985.5","983.4","983.5","984.5","985.1","985.9","987","985.8","983","981.5","980.2","982.7","982.7","982.8","985.6","986.4","983.6","981.3","979.3","987","988.6","987.7","988.1","987.8","987.7","988.5","985.3","985.2","989.4"
"C0K240","883.7","881.5","879.6","879.8","880.9","881.8","882.6","883.8","882.3","879.8","878.7","877.3","879.2","878.9","879.2","881.9","882.6","880","877.7","876.2","883","884.7","884.1","884.4","884.1","884","884.7","881.8","881.6","885.4"
"C0K280","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0K330","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0M410","975.8","973.4","971.3","971.5","972.7","973.6","974.7","976","974.9","972.6","971.3","970.4","972.1","972.1","972.4","974.5","974.8","972","970.9","970.3","977.2","978.6","977.5","977.3","976.6","976.4","976.8","973.4","973.3","977.4"
"C0M530","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0O810","993.2","991.5","989","988.8","990","990.6","991.9","993","992.9","990.3","988.8","987.8","989.2","989.4","989.5","991.2","991.9","989.3","988.5","987.9","994.1","995.6","994.9","994.6","993.2","993","994","989.4","989","993.9"
"C0O900","1005.4","1003","1000.9","1001","1002.2","1002.9","1003.7","1005.2","1004.3","1001.3","1000.1","999","1001.3","1000.8","1001.8","1004.2","1004.6","1001.8","999.5","998.9","1006.5","1008.5","1007.8","1008.1","1006.7","1006.1","1006.5","1003","1002.6","1006.9"
"C0O930","999.5","997.2","995.2","995.2","996.4","997.2","998","999.6","998.5","996.1","995.6","996.6","997","997","995","997.3","998.2","995.5","993.7","993","999.7","1001.7","1000.6","1000.7","1000.1","999.8","1000.3","997.1","996.7","1000.8"
"C0R100","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"C0R150","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
