"stno","2016-02-01","2016-02-02","2016-02-03","2016-02-04","2016-02-05","2016-02-06","2016-02-07","2016-02-08","2016-02-09","2016-02-10","2016-02-11","2016-02-12","2016-02-13","2016-02-14","2016-02-15","2016-02-16","2016-02-17","2016-02-18","2016-02-19","2016-02-20","2016-02-21","2016-02-22","2016-02-23","2016-02-24","2016-02-25","2016-02-26","2016-02-27","2016-02-28","2016-02-29"
"C0AD10","26","6.5","1","4.5","9","0","0","0","0","0","0.5","0","0","26","3","0","4","3.5","2.5","0.5","0","0","10","3.5","0","8","19.5","0","0"
"C0AD30","11.5","8","0.5","4","4","0","0","0","0","0","0","0","0","12","0","0","3","6","1.5","0","0","0","0","1.5","0","1","11.5","0","0"
"C0AD40","26.5","10.5","0.5","7.5","8","0","0","0","0","0","0","0","0","10.5","2.5","0.5","5","5.5","0","0.5","0","0","2.5","3.5","1.5","4.5","13","0","0"
"C0AD50","34.5","12","0.5","7","10","0.5","0","0","0","0","0","0","0","16","1","0","3.5","5","0","0.5","0","0","2","3.5","0.5","1.5","13.5","0","0"
"C0C460","25","16","0.5","4","8","5","0","0","0","0","0","0","0","10.5","4.5","1.5","4","3.5","0.5","8.5","0","1","1","5","0","0","6","0","0"
"C0C480","30","15.5","1","6","6.5","0","0","0","0","0","0","0","0","17.5","1","0","5","7","1","1","0","0","1.5","4.5","1","3.5","16.5","0","0"
"C0C540","27","5.5","0.5","5","6","0","0","0","0","0","1","0","0","23.5","1","0","3.5","4","2.5","0.5","0","0","5","3.5","0","10","12","0","0"
"C0C590","35","7.5","1","4","8.5","0","0","0","0","0","2.5","0","0","40","1","0","2.5","3.5","3","1","0","0","4.5","4","0.5","14","14.5","0","0"
"C0C630","27.5","7","0","8","10.5","2","0","0","0","0","0","0","0","12","1","0.5","4","6","0.5","1.5","0","0","2","2","0","2","11","0","0"
"C0C650","28","11.5","0","6.5","8.5","0.5","0","0","0","0","0","0","0","18","1","0","5.5","5.5","0.5","1","0","0","1.5","3","0.5","3.5","12.5","0","0"
"C0D360","26.5","16.5","0.5","3.5","5.5","0","0","0","0","0","0","0","0","8.5","1.5","2","3.5","4","0","6.5","0.5","1","1","1.5","0","0.5","2.5","0","0"
"C0D390","22.5","6.5","0","3.5","9.5","2.5","0","0","0","0","0.5","0","0","9.5","1","0.5","5","6","0.5","3","0","0","1","1","0","4","6.5","0","0"
"C0D480","28","9","0","4.5","13.5","1","0","0","0","0","1","0.5","0","16.5","1.5","0","6","6","0.5","2","0","0","3","2","0","5","10","0","0"
"C0D540","22","11.5","0.5","4.5","2.5","0","0","0","0","0","0.5","0.5","0","9","0.5","2","2.5","6.5","1","2.5","0","0","0","0.5","0","2.5","5.5","0","0.5"
"C0D550","31.5","13","1.5","5.5","2","1","0","0","0","0","2.5","1.5","0","6.5","2","1.5","9.5","7","0","9","1","6","0.5","1.5","0.5","0.5","0","0.5","0"
"C0D560","19.5","3.5","0","3","2","0","0","0","0","0","1.5","0.5","0","12.5","0","0","6","7","0.5","2.5","0","0","0","0","0","5","4.5","0","0"
"C0D570","12.5","2.5","0","2.5","1.5","0","0","0","0","0","3.5","0","0","18","0","0","1.5","6","0","1","0","0","0","0","0.5","5","6.5","0","0"
"C0D580","21","4","0","4","3","0","0","0","0","0.5","1.5","1","0.5","16.5","0","0","6.5","7.5","0.5","3","0","0","0.5","0","0","7","6","0","0"
"C0D590","20","7.5","0","2","5","0","0","0","0","0","3.5","0","0","22.5","0","0","1.5","5","0","1","0","0","1","0.5","0.5","5.5","11","0","0"
"C0E420","11","1.5","0","2","1","0","0","0","0","0","3.5","0","0","13","0","0","1.5","6.5","0","1","0","0","0.5","0","0","4","4","0","0"
"C0E430","25.5","8","1","2.5","3","1.5","0","0","0","0","4","0","0","6","0.5","1","1.5","8.5","0","1","0","0","0","0.5","0.5","4.5","2","0.5","0"
