"stno","2013-05-01","2013-05-02","2013-05-03","2013-05-04","2013-05-05","2013-05-06","2013-05-07","2013-05-08","2013-05-09","2013-05-10","2013-05-11","2013-05-12","2013-05-13","2013-05-14","2013-05-15","2013-05-16","2013-05-17","2013-05-18","2013-05-19","2013-05-20","2013-05-21","2013-05-22","2013-05-23","2013-05-24","2013-05-25","2013-05-26","2013-05-27","2013-05-28","2013-05-29","2013-05-30","2013-05-31"
"467550","53","14","36","14.5","10","14.5","0","0.5","-9998","10","37.5","22","20.5","0.5","9.5","24.5","112","34","155.5","38","120.5","42.5","39.5","0","0","6","1","0.5","6","16","0"
"467571","26.6","0","0.5","0","0","0","0","-9998","0.2","0","172.1","20.5","9.4","0","20.9","2.3","19","0.4","3.5","54.2","16.1","42.7","0.7","1.8","0","0","0","0","0","0","0"
"467590","78","0.5","0.5","0","0.5","1","0","0","0","0","0","10","32.5","0","0","21","64","17","10","8","29","13.5","2","0","0","0","0","0","0","-9998","0"
"467610","3.5","0.1","0.5","0","103.5","146.5","13.5","9","22.5","0.5","6","5.1","0","1.7","0","4.6","15.3","0","0.5","4.5","5","0.2","5","46.5","12","0","0","0","0","0","0"
"467620","60.4","0","7.4","1.4","0.5","0","0","0","1","7.5","0","4.4","2.6","0","-9998","0.5","0.5","0.5","0","0.2","1.5","5.5","6","0","23","0","0","0","0","0","0"
"467650","14.5","4.5","24.5","11","1.5","39.5","0.5","12.5","1","0","117","26.5","32.5","6","106","7","78.5","5.5","93.5","19","76","21","19","0","1","8","0","0","0","12","0"
"467660","42.7","-9998","0","0","15.8","191","5.5","4.3","0.5","0","-9998","3.1","-9998","4.5","0","11.3","26.2","0","0.5","5.3","5.3","-9998","0.1","4.2","0.5","0.1","0","0","0","0","1"
"467770","33","-9998","3","0","0","0","0","-9998","-9998","0","71.5","12.5","6.5","0","0.1","2","26.5","5","24","13","54.5","20","2","0","0","0","0","0","0","0","0"
"467780","5","3.5","6","0","0","0","0","0","0","0","3.5","9.5","1.5","0","0","26","81.5","14","7.5","15.5","2.5","6.5","15.5","-9998","0","0","0","-9998","0","0","0"
"467990","8.5","0","0","5","16","2.5","2.1","0","-9998","24","3.5","0","0","0","15","13","0","7.5","10","44.5","3","21","2","0.5","0","0","0","0","1.5","0.2","2.5"
"C0A520","28.5","0","0.5","0","0","39","0","1.5","0.5","0","146","39.5","0.5","1","12.5","1.5","14","0","0","33","22","21.5","6","0","0","0","0","1","0","0","0"
"C0A530","21.5","0","0","0","0","3","0","4.5","0.5","20","52","49","1","0","14","0.5","9","0.5","0","36","49","50.5","6.5","2.5","0","0","12","0","17","0","0"
"C0A540","17.5","0.5","0","8","21.5","9.5","14.5","15","0.5","10.5","37","39.5","5.5","0","9","0","9","0.5","0","24","44","5","22","16","0","0","5","0","12.5","16.5","0"
"C0A550","26","0.5","0","8.5","9","7.5","11.5","5.5","1","13.5","43","54","8.5","0","6.5","1","7.5","0","0","34","46.5","26.5","13.5","3.5","0","0","0.5","0","6.5","7.5","0"
"C0A560","19.5","0","1","0.5","25.5","14","33","0.5","0.5","1.5","40.5","44","2.5","0","16.5","0","19.5","0","0","20","35","4.5","1","14","0","5.5","0","0","21","6","0"
"C0A570","21.5","0.5","0","0.5","3","9.5","2","3","0.5","1.5","45","42","2","0","46.5","0.5","11.5","0.5","0","17.5","42","6","30.5","19","0","1.5","0.5","0","34","0","0"
"C0A640","33.5","0","0","0","0","3","0","2.5","1","2","92","75","0.5","0","31","1.5","8","2.5","0.5","38","46","41.5","19.5","2","0","0","3.5","0","38.5","0","0"
"C0A650","29","0","0","1","0","1.5","0.5","1","0.5","17.5","76.5","73.5","0.5","0.5","7.5","2","7","0.5","0.5","52","57","46","23","0.5","0","0.5","2.5","0","47.5","0","0"
"C0A660","50.5","0","0","0.5","0.5","0","0.5","0","0","0.5","136","52","9.5","0","7","2","6","0.5","0","59.5","20.5","48","0","0","0","0","0","0","0.5","0","0"
"C0A860","61.5","0","0","0.5","1","2","0","0","0","0","218","39","7.5","0","3","3","23.5","0","1","16","13","31.5","0","0","0","0","0","0","2.5","0","0"
"C0A870","46","0","0","0.5","0","1","0","0","0.5","0","168.5","43.5","14.5","0","4.5","3","24","0","1.5","17.5","21.5","28.5","0.5","0.5","0","0","0","0","11","0","0"
"C0A880","27.5","0","0","6","20","7.5","5","1.5","0.5","13.5","37","57.5","0.5","0","4.5","1","12.5","0","1.5","39","48.5","26","17.5","0.5","0","0","0","0","0","0","0"
"C0A890","24","0","0","3.5","7.5","2.5","1.5","1.5","0.5","14.5","57.5","64","0","0","4","1","6.5","0","0.5","53","63","0.5","55.5","0.5","0","0","7.5","0","0","0","0"
"C0A920","53","0","0","2.5","1","0","0","0","0","0","220","39.5","0","0","2.5","5","36","0","5","28.5","21","43","2","0","0","0","0","0","0","0","0"
"C0A940","51.5","0","0","0","0","1","0","0","0","3","237","39","3","0","2.5","3","18.5","0","1.5","17.5","14.5","29","0","0","0","0","0","0","0","0","0"
