"stno","2015-02-01","2015-02-02","2015-02-03","2015-02-04","2015-02-05","2015-02-06","2015-02-07","2015-02-08","2015-02-09","2015-02-10","2015-02-11","2015-02-12","2015-02-13","2015-02-14","2015-02-15","2015-02-16","2015-02-17","2015-02-18","2015-02-19","2015-02-20","2015-02-21","2015-02-22","2015-02-23","2015-02-24","2015-02-25","2015-02-26","2015-02-27","2015-02-28"
"C0I110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0","0","0","0","2.5","0","0","0","0","0","0","0"
"C0K240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5","0","0","0","0","7","0","0","0","0","0","0","0"
"C0K280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.5","0","0","0","0","3","0","0","0","0","0","0","0"
"C0K330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5","0","0","0","0","6","0","0","0","0","0","0","0"
"C0M410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","20.5","0","0","0","0","0","0","0"
"C0M530","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.5","0","0","0","0","20.5","3","0","0","0","0","0","0"
"C0O810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5","0","0","0","0","14.5","0","0","0","0","0","0","0"
"C0O900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","20.5","0","0","0","0","0","0","0"
"C0O930","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0","0","17","1","0","0","0","0","0","0"
"C0R100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","10.5","1","1.5","0","0","6","3.5","0","0","0","0","0","0"
"C0R150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5","0","0","0","0","3.5","10","0","0","0","0","0","0"
"C0R220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0.5","0","0","0","2","6","0","0","0","0","0","0"
"C0R270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","2.5","16","0","0","0","0","0","0"
"C0R280","2.5","0","4","2.5","2","0","0","0","0","0","0","0","0","0","0.5","4","0.5","0.5","0","1","0","16","0","0","0","0.5","0","0"
"C0R350","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0"
"C0R420","1.5","1.5","3","0","3","0","0","0","0","0","0","0","0","0","1","4","1","0.5","2","0.5","0.5","44.5","0.5","1.5","0","0.5","0","0.5"
