"stno","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30"
"C0R280","0.5","0","0","0","1","6.5","7","0","0","0","0","4","0","0","1","6","1","5.5","0","4","0","0","3.5","1.5","4","3.5","0.5","0","0","0"
"C0R350","0","0","0","0","0","0","0","0","0","0","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0R420","0.5","0","0","0","0.5","11","13","1","0","0","0","0","0.5","0","1.5","3.5","1.5","2","2.5","6.5","0","2.5","13","2.5","7","2.5","2.5","7","0.5","0"
"C0S680","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"C0S690","0","0","0","0","0","2","0","0","0.5","0","0","0","23.5","0.5","0.5","1","0","0.5","1","0","0","0","0","0","6.5","0.5","0.5","7","0","0"
"C0S700","0","0","0","0","0","4.5","0","0","0","0","0","0.5","8.5","2","4.5","1","0","0.5","3.5","0.5","0","0","1.5","0","3.5","1.5","0.5","5","0.5","0.5"
"C0S710","0","0","0","0","1.5","5.5","0","0","0","0","1.5","0","1.5","0.5","4.5","0","0","0","2.5","0","0","3","0","0.5","5","0.5","0","1.5","0","0"
"C0S730","0","0","0","0","1.5","5.5","3","0","0","0","132","39","0.5","0","1.5","3","3","0","0","0","0","0.5","0.5","3.5","1","2.5","0","0","0","0"
"C0S740","0","0","0","0","0","7.5","0","0","0","0","0","7","0.5","0","0.5","0.5","0","0","0","0","0","4","2.5","0","0","0","0","0.5","0","0"
"C0S750","0","0","0","0.5","0","2.5","6","0","0","0","0","0","0","0","22.5","4","8","0.5","0","0","0","0","1.5","0","10.5","0","1","0.5","0","0"
"C0S760","0","0","0","0.5","0","24.5","1","1.5","0","0","0","0","0.5","0","3.5","1","1.5","0.5","3","0.5","0","1.5","1","0","2.5","0.5","0.5","2","0.5","0"
"C0S770","0","0","0","0","0","6.5","1","0","0","0","0","0","44","3.5","0.5","1","0","1","5","0","0","0.5","0.5","0","3","0","7","14.5","0.5","0"
"C0S790","0","0","0","0","0","3.5","1","0","0","0","0","0","68","3","0","0.5","0","0","1.5","1","0","0","0","0","3.5","0","15.5","8.5","0","0"
"C0S810","0","0","0","0","0","3","0","0","0","0","13","1.5","133.5","0.5","1.5","0.5","0","0","0","0","0.5","2.5","252","0.5","0","0","0","0","0","0"
"C0S830","0","0","0","0","0","0.5","0","0","0","0","4","6.5","2","0","1","0.5","0.5","0","2","0.5","0","10.5","15.5","0","0","0","0","3.5","0","0"
"C0S840","0.5","0","0","0.5","0","0.5","1","0","0","0","0","0","0","0","0","0","0","0.5","1","1.5","0","1","3","0","1.5","0","0","9","0.5","0"
"C0T790","0","0","0","0","0","0","18","0","0","0","0","2.5","0","1","9","5","32.5","0.5","0","0","0","0","4","0.5","0","0","0","0","0","0"
"C0T820","0","0","0","0","0","0","3.5","0","0","0","0","0.5","0","0","4","3","8.5","0","0","0.5","0","0","7","0","0","0","0","0","0","0"
"C0T870","0","0","0","0","0","5.5","1","0","0","0","0","0","0.5","2.5","9","0.5","2","0","1","0","0","0.5","16","2","1","0","0","2.5","0","0"
"C0T960","0","0","0","0","0","12","0.5","0","0","0","1","6","1.5","0","4","0.5","1","0","2.5","1","0","18","15.5","5.5","3.5","0","2","6.5","0","0"
"C0T9A0","0","0","0","0.5","0","11","0","0","0","0","0","3","1","0","6","2.5","4.5","0","1.5","2","0","0","3","2","2","0","5.5","6","0","0"
"C0T9B0","0","0","0","0.5","0","15","2.5","0","0","0","0","1","1","0.5","10","2","8.5","0","2","0","0","0","18","6","7.5","0","2","8.5","0","0"
"C0T9D0","0","0","0","0","0","2.5","0","0","0","0","0","0","50.5","86.5","0.5","0","1","0.5","1.5","0","0","34","183","0","0","0","3.5","2.5","0","0"
